metabolite,estimate_trt_(Intercept),estimate_trt_trtlive,estimate_trt_genotypeR500,estimate_trt_trtlive:genotypeR500,p.value_trt_trtlive,p.value_trt_genotypeR500,p.value_trt_trtlive:genotypeR500,estimate_leaf_(Intercept),estimate_leaf_value_scale,p.value_leaf_value_scale,tissue,FDR_trt_trtlive,FDR_trt_genotypeR500,FDR_trt_trtlive:genotypeR500,FDR_leaf_value_scale,sig.both
met_per_mg_leaf_methanolphosphate,336.00233451281946,126.10310726310145,693.1433426035469,-394.7525276389556,0.3210386644122705,1.1405266460705984e-7,0.03280595840891777,1.4321091608825282e-16,0.047410736328988616,0.7836392921172453,leaf,0.9281005133196085,5.018317242710633e-6,0.5833595832619678,0.9000220854524918,FALSE
met_per_mg_leaf_melibiose,6.028108387378494,-0.060326154305145284,1.9335377927237518,-2.0846413263867625,0.972176279354969,0.17717868595777744,0.3967541899737028,1.5123332983245863e-16,-0.3913824622024759,0.018252732257894696,leaf,0.9941416445800659,0.2556020387587609,0.742858908886933,0.22875438327663908,FALSE
met_per_mg_leaf_melezitose,4.927711413612145,0.3438618543171034,0.6726574271035062,-2.1802327316291494,0.7559489383146873,0.4581114350998433,0.16952171599986746,1.5925030207533694e-16,0.001358205039147874,0.9937273984246828,leaf,0.9281005133196085,0.5522439217641947,0.5977085734955636,0.9972051306630372,FALSE
met_per_mg_leaf_maltotriose,6.670978746679276,2.7008878271111816,5.304234162721829,-3.0210061139997864,0.41555121452465194,0.05588557003615051,0.5188001300456796,1.5747443398738507e-16,0.007884882073184224,0.9635969431999124,leaf,0.9281005133196085,0.12941921482055907,0.8226020080003569,0.9803067167814137,FALSE
met_per_mg_leaf_maltose,1809.1928112401322,634.3342364641226,930.2825021997714,-838.314663825512,0.09530185073456272,0.004151159070157228,0.11804282495663364,1.8050507975962464e-16,0.1707515447186984,0.3194010297025261,leaf,0.9281005133196085,0.017395333246373147,0.5833595832619678,0.7274152293943644,FALSE
met_per_mg_leaf_malonic acid,7.0455404178762215,-1.1445114932657983,12.539925565979928,-4.865162075715569,0.6930326797143952,7.277197751865992e-6,0.2399822855031712,1.89244606489392e-16,0.09448559522834021,0.5835992219631667,leaf,0.9281005133196085,1.423096449253794e-4,0.5977085734955636,0.8733770295700142,FALSE
met_per_mg_leaf_malic acid,42345.45047671408,-10057.369449594264,-3951.841122492992,-895.1776952380019,0.09782855061735322,0.4179123435805989,0.9151991073487811,1.3916078105809572e-16,-0.10091186457670483,0.55814357814801,leaf,0.9281005133196085,0.5143536536376603,0.9866471642145164,0.8733770295700142,FALSE
met_per_mg_leaf_maleimide,16.861625954449398,5.832475312171637,56.63189684125391,-39.31686236597773,0.730457904028712,2.406867944088067e-4,0.10737203181746907,2.1264564574493854e-16,-0.22236100469468711,0.1924141400185297,leaf,0.9281005133196085,0.0015128884219982135,0.5833595832619678,0.5644148107210204,FALSE
met_per_mg_leaf_maleic acid,599.7448974282155,76.82787684469679,42.988019539267455,-128.31982548376521,0.6363783152292175,0.7457205281131583,0.576868905355706,2.064782375443074e-16,-0.11413244088250282,0.5074598641536824,leaf,0.9281005133196085,0.8026424053149774,0.8531842633832291,0.8425748687834727,FALSE
met_per_mg_leaf_lyxose,30.464777130204144,6.352709666180738,25.37334179995708,-28.312844081125906,0.41451850905314347,3.0936358899854216e-4,0.013811900887336004,1.9377712053041264e-16,0.08759252828790959,0.6114634274630617,leaf,0.9281005133196085,0.0018775169539221868,0.5833595832619678,0.8948087218812877,FALSE
met_per_mg_leaf_lyxitol,80.47164520212685,29.8906726803917,85.9630777848906,-182.21394376444778,0.6904043227514375,0.16651766804831533,0.09280490040346208,1.624486382150849e-16,0.04197004178793424,0.807974372167578,leaf,0.9281005133196085,0.24753726921820857,0.5833595832619678,0.9000220854524918,FALSE
met_per_mg_leaf_lysine,772.2983313512258,-59.10211547481412,-529.4363316321882,99.60690602270168,0.70312800208246,1.8868225312955263e-4,0.6498688091424885,1.5128407782686703e-16,-0.36230518009832496,0.029894038723651695,leaf,0.9281005133196085,0.0012299287611407875,0.9006055937722675,0.22875438327663908,FALSE
met_per_mg_leaf_linolenic acid,200.70961049110653,-7.9256363965932435,-83.79146315813708,8.635973663846944,0.8222524562978873,0.006162017606376992,0.8625603625232362,1.6021258220214002e-16,0.02485906877768985,0.8855695139318678,leaf,0.9516208375751817,0.02522128136563606,0.9838102038119347,0.9503672832439557,FALSE
met_per_mg_leaf_linoleic acid,7.3516013137401,0.1170256081949848,2.2551268472065353,-2.814942591057669,0.9498887874407522,0.1447285886157293,0.28937521253840826,1.6790036575705705e-16,0.05600386003132391,0.7456207892020975,leaf,0.9941416445800659,0.2254179787289235,0.621098017155608,0.9000220854524918,FALSE
met_per_mg_leaf_lignoceric acid,13.04689510889191,-3.37581433614625,-2.2671071807702528,2.3651160504960003,0.1147936282201643,0.1918065956761084,0.42782167934898174,1.7429116034974408e-16,0.06547924668030529,0.7043775981927973,leaf,0.9281005133196085,0.2744549661706917,0.7475641764156707,0.9000220854524918,FALSE
met_per_mg_leaf_levoglucosan,34.85226556471519,-2.026321518668121,21.136193110672593,-5.632369932664479,0.9288880050957031,0.259026126958708,0.8607847398247876,1.8632321931285346e-16,0.16529703470996265,0.33533193466216027,leaf,0.9941416445800659,0.3506815257287124,0.9838102038119347,0.7470686139308886,FALSE
met_per_mg_leaf_leucine,1513.3010174733943,-31.078508420152318,-404.23119173108626,-430.42857338385625,0.9488384391997222,0.31063810842908374,0.5310150911030862,2.280290966086561e-16,-0.4507935199574694,0.005794273750744465,leaf,0.9941416445800659,0.3961761382863676,0.8270677525145413,0.1456845971615751,FALSE
met_per_mg_leaf_lactulose,231.08778991084168,-125.91565984908208,-72.18948051094368,21.83700165443984,0.3734528639566004,0.5307064001119806,0.9125510020867922,1.683972080060787e-16,-0.13869461583738682,0.419834158988321,leaf,0.9281005133196085,0.6311103136466796,0.9866471642145164,0.7877377582285084,FALSE
met_per_mg_leaf_lactic acid,56.717086544622106,-11.648627774339559,-13.255230525151312,2.1531723129899834,0.2436701529284554,0.107632517876502,0.8776034204458736,1.610328652943781e-16,-0.0629788146011463,0.715186292370033,leaf,0.9281005133196085,0.18943323146264354,0.9838102038119347,0.9000220854524918,FALSE
met_per_mg_leaf_isothreonic acid,112.35940305506006,-0.4730276531241987,117.35111306243151,-25.949846163675296,0.9879092961863967,5.6316875870435486e-5,0.5577102899569157,1.541188280789901e-16,-0.14395806400296862,0.4022323085131527,leaf,0.9941416445800659,5.179262969605091e-4,0.8436601311232292,0.7779438054759877,FALSE
met_per_mg_leaf_isoribose,33.65969346271831,-4.111067021883107,-8.305762838019241,0.5918930067680376,0.6477159180751382,0.26217328546280416,0.9628358630135507,1.6228822685803128e-16,0.06678761455937664,0.6987443628597749,leaf,0.9281005133196085,0.3511513016349732,0.9948518747216186,0.9000220854524918,FALSE
met_per_mg_leaf_isoleucine,3441.9941901743673,-724.4481144238881,-2116.6644255768106,39.1038716962707,0.21935808980821642,8.864863360620359e-5,0.9621596874405374,2.502796038038762e-16,-0.4778335556944543,0.0032054340536469402,leaf,0.9281005133196085,6.462080427100229e-4,0.9948518747216186,0.1456845971615751,FALSE
met_per_mg_leaf_isohexonic acid,4.615886560156402,1.608697596272023,7.629931529680241,-6.083147670821839,0.5275989454796188,7.854450324157292e-4,0.09738776637854336,1.8598180681603636e-16,-0.1489075361749804,0.38607304009923804,leaf,0.9281005133196085,0.0043199476782865105,0.5833595832619678,0.7634702815445606,FALSE
met_per_mg_leaf_isocitric acid,619.1077341349077,135.28095153779566,337.45535820388545,-288.53648107893616,0.364427056761506,0.008363963605191815,0.1748470528125707,6.07018809696648e-17,0.17865898069097655,0.2971613724608471,leaf,0.9281005133196085,0.03002397694966638,0.5977085734955636,0.7151720667632413,FALSE
met_per_mg_leaf_inulotriose,3.44896262548845,-0.9194745397344868,5.235900709116066,0.6475360247415974,0.8132281433922309,0.10639777005579029,0.9063109853279068,1.503597357681019e-16,0.07201492254636377,0.676398272297356,leaf,0.9516208375751817,0.18915159121029385,0.9866471642145164,0.9000220854524918,FALSE
met_per_mg_leaf_inositol-4-monophosphate,4.439643684001346,0.3648860202154376,5.578422616112779,-2.838510484733042,0.8128002719091663,9.179091515767371e-5,0.19837219533150824,1.9411651219300073e-16,0.08294254503612974,0.6305717541420248,leaf,0.9516208375751817,6.462080427100229e-4,0.5977085734955636,0.895005070395132,FALSE
met_per_mg_leaf_hypoxanthine,54.84944466975281,16.08401127927367,80.12775196391802,-71.8000439583277,0.44692709820388,4.765484114229881e-5,0.020854457102195672,1.060826151620218e-16,-0.3410029302724576,0.04182396560242665,leaf,0.9281005133196085,4.933677671202701e-4,0.5833595832619678,0.25382820503541687,FALSE
met_per_mg_leaf_hydroxylamine,2410.2317678705517,-596.6433991517715,-748.7604150528709,164.62814759101067,0.3360188353623106,0.14309053171046598,0.8500650518528298,1.6583769198070105e-16,0.13318019317721427,0.4387302760944758,leaf,0.9281005133196085,0.2254179787289235,0.9838102038119347,0.804338839506539,FALSE
met_per_mg_leaf_hydroxycarbamate NIST,69.94393511832827,7.245755786664754,7.533896508163821,-16.568033464399317,0.6211313555430645,0.5295804920641489,0.42564971791960593,1.6933355270091598e-16,-0.07523238373324809,0.6627766958824389,leaf,0.9281005133196085,0.6311103136466796,0.7475641764156707,0.9000220854524918,FALSE
