metabolite,p.value.trt,p.value.leaf,tissue,FDR.trt,FDR.leaf,sig.both
met_amt_leaf_phenylethylamine,0.0315292293671377,0.6004127700021988,leaf,0.6450505478764212,0.8320680907117086,FALSE
met_amt_leaf_phenylalanine,0.9140363828207737,0.0151221503041975,leaf,0.9499740678229883,0.14400913170130564,FALSE
met_amt_leaf_phenol,0.22659548350488926,0.3799746367943442,leaf,0.7097983828409101,0.753316079439519,FALSE
met_amt_leaf_pentitol,0.0688980262063122,0.046974437578033906,leaf,0.6450505478764212,0.2071369970816596,FALSE
met_amt_leaf_pelargonic acid,0.6902663324558183,0.9292843994101367,leaf,0.874006291454849,0.9620826723304946,FALSE
met_amt_leaf_palmitic acid,0.2801798859450364,0.5539463168187504,leaf,0.7328368016830991,0.8320680907117086,FALSE
met_amt_leaf_oxoproline,0.31360184990268103,0.32139325970653243,leaf,0.7504234000284308,0.6707815620138268,FALSE
met_amt_leaf_ornithine,0.15820992032629877,0.1307560136012177,leaf,0.6989610196755311,0.4037378665581458,FALSE
met_amt_leaf_oleic acid,0.3946362612161948,0.20158757208569963,leaf,0.7504234000284308,0.5447836655573859,FALSE
met_amt_leaf_octanol NIST,0.21842531864860348,0.5771646311211178,leaf,0.6989610196755311,0.8320680907117086,FALSE
met_amt_leaf_octadecanol,0.21253318306617516,0.9530283533507944,leaf,0.6989610196755311,0.9808946794721626,FALSE
met_amt_leaf_nicotinamide,0.3833361380766217,0.028651074394301698,leaf,0.7504234000284308,0.17617878090617015,FALSE
met_amt_leaf_N-acetylornithine,0.4050580852426189,0.7554858920558426,leaf,0.7504234000284308,0.8923860201464987,FALSE
met_amt_leaf_N-acetylmannosamine,0.3956493737386504,0.2520293652570401,leaf,0.7504234000284308,0.5740834031349785,FALSE
met_amt_leaf_n-acetyl-d-hexosamine,0.2922190510598597,0.032102757536160334,leaf,0.7354170538844977,0.17656516644888184,FALSE
met_amt_leaf_myristic acid,0.8328815997665453,0.8054358313623767,leaf,0.9416259665236468,0.9086968353831942,FALSE
met_amt_leaf_myo-inositol,0.8907321590478703,0.5565372524647949,leaf,0.9435946980712708,0.8320680907117086,FALSE
met_amt_leaf_mucic acid,0.4013705643412836,0.9779901241318645,leaf,0.7504234000284308,0.9892313899264837,FALSE
met_amt_leaf_methyl O-D-galactopyranoside,0.8168734563460844,0.05923124031309093,leaf,0.9416259665236468,0.24243484407218616,FALSE
met_amt_leaf_methionine sulfoxide,0.1352209610047775,0.07020865445705038,leaf,0.6989610196755311,0.26862441705306234,FALSE
met_amt_leaf_methionine,0.9683306517967296,0.031031489818700422,leaf,0.9907396082574582,0.17617878090617015,FALSE
met_amt_leaf_methanolphosphate,0.5780120174128142,0.7500140906159826,leaf,0.8583463594057964,0.8921671056825081,FALSE
met_amt_leaf_melibiose,0.5466786358552587,0.002564109622986081,leaf,0.8485551492044768,0.07322161371682658,FALSE
met_amt_leaf_melezitose,0.464655010969777,0.7890792665538238,leaf,0.7808676485814227,0.9026222582137972,FALSE
met_amt_leaf_maltotriose,0.3982543967250872,0.6800479889298465,leaf,0.7504234000284308,0.8653333083694629,FALSE
met_amt_leaf_maltose,0.013326597531559006,0.08772525445297824,leaf,0.6450505478764212,0.29267277927031543,FALSE
met_amt_leaf_malonic acid,0.11636267420489481,0.456690009042663,leaf,0.6826610220020495,0.8320680907117086,FALSE
met_amt_leaf_malic acid,0.030575023399720465,0.8007356139767868,leaf,0.6450505478764212,0.9086968353831942,FALSE
met_amt_leaf_maleimide,0.7051448878500589,0.22654033919308897,leaf,0.8778809235474923,0.5545353486662689,FALSE
