metabolite,p.value.trt,p.value.leaf,tissue,FDR.trt,FDR.leaf,sig.both
met_per_mg_leaf_citramalic acid,0.3029974752236235,0.07945560464151814,leaf,0.7435090953712425,0.3414016685259204,FALSE
met_per_mg_leaf_cis-sinapinic acid,0.045261623270864214,0.0690382127547429,leaf,0.4802854619903761,0.3197559327588092,FALSE
met_per_mg_leaf_cis-caffeic acid,0.7929905658015951,0.7837658644845559,leaf,0.9309598010580195,0.9000220854524917,FALSE
met_per_mg_leaf_chlorogenic acid,0.4582459388801796,0.7912853074169901,leaf,0.8644348440773273,0.9000220854524917,FALSE
met_per_mg_leaf_cellobiose,0.15683572114096841,0.5704995087034584,leaf,0.5750643108502175,0.8733770295700142,FALSE
met_per_mg_leaf_capric acid,0.07912115245253706,0.42072357541749883,leaf,0.4802854619903761,0.7877377582285084,FALSE
met_per_mg_leaf_butyrolactam NIST,0.8088440943960329,0.6538899705937887,leaf,0.9365563198269855,0.8990987095664595,FALSE
met_per_mg_leaf_beta-sitosterol,0.03246484517323292,0.8462736779827443,leaf,0.4802854619903761,0.9194084402775493,FALSE
met_per_mg_leaf_beta-gentiobiose,0.6814854608320176,0.03861433968460166,leaf,0.8952146821634348,0.25146982645672983,FALSE
met_per_mg_leaf_beta-alanine,0.07219991727343085,0.8296094543226242,leaf,0.4802854619903761,0.9141236379057534,FALSE
met_per_mg_leaf_benzoic acid,0.052578869326701604,0.5829829255860426,leaf,0.4802854619903761,0.8733770295700142,FALSE
met_per_mg_leaf_aspartic acid,0.7978574019398074,0.1666715349314882,leaf,0.9309598010580195,0.5145289781119884,FALSE
met_per_mg_leaf_asparagine,0.6505752050237513,0.029741412506600864,leaf,0.8807787391090788,0.22875438327663908,FALSE
met_per_mg_leaf_aminomalonate,0.20809642442667192,0.07943670828046596,leaf,0.6782191344168877,0.3414016685259204,FALSE
met_per_mg_leaf_alpha-ketoglutarate,0.38483924051849605,0.20888641852722575,leaf,0.8466463291406914,0.5929678977547054,FALSE
met_per_mg_leaf_alpha-aminoadipic acid,0.9944259942719471,0.7364328349622348,leaf,0.996927616462273,0.9000220854524917,FALSE
met_per_mg_leaf_allantoic acid,0.03252502615108986,0.8021707134118796,leaf,0.4802854619903761,0.9000220854524917,FALSE
met_per_mg_leaf_alanine-alanine,0.7656509638135838,0.5660464447700889,leaf,0.9309598010580195,0.8733770295700142,FALSE
met_per_mg_leaf_alanine,0.05082545425592802,0.02857244794052981,leaf,0.4802854619903761,0.22875438327663908,FALSE
met_per_mg_leaf_adenosine,0.955988938496141,0.704082027614946,leaf,0.9897297245607107,0.9000220854524917,FALSE
met_per_mg_leaf_adenine,0.7987211929531872,0.003587453874433829,leaf,0.9309598010580195,0.1456845971615751,FALSE
met_per_mg_leaf_aconitic acid,0.21579699731446428,0.4600789877460322,leaf,0.6782191344168877,0.8097390184330167,FALSE
met_per_mg_leaf_6-deoxyglucose,0.08195720206038924,0.43215835551484905,leaf,0.4802854619903761,0.800630216532773,FALSE
met_per_mg_leaf_5'-deoxy-5'-methylthioadenosine,0.02650828436770192,0.7429101573609698,leaf,0.4802854619903761,0.9000220854524917,FALSE
met_per_mg_leaf_5-aminovaleric acid,0.5247896445111766,0.917392763517822,leaf,0.8712913912168124,0.9726573878261245,FALSE
met_per_mg_leaf_4-hydroxybutyric acid,0.9813729786478435,0.7002969441923368,leaf,0.996927616462273,0.9000220854524917,FALSE
met_per_mg_leaf_4-hydroxybenzoate,0.49808725417984934,0.5998156456532412,leaf,0.8684519470701683,0.8871222994535333,FALSE
met_per_mg_leaf_4-aminobutyric acid,0.9505049037224156,0.6253492772238545,leaf,0.9897297245607107,0.8948087218812877,FALSE
met_per_mg_leaf_3-hydroxypropionic acid,0.6082258209537743,0.3539156792851881,leaf,0.8712913912168124,0.7489722501497669,FALSE
met_per_mg_leaf_3-hydroxy-3-methylglutaric acid,0.14451479014857624,0.34236928473369876,leaf,0.5411617673648812,0.7489722501497669,FALSE
met_per_mg_leaf_3-aminoisobutyric acid,0.09915169086184457,0.6413462248713975,leaf,0.4985913597624184,0.8958486950584599,FALSE
"met_per_mg_leaf_3,4-dihydroxycinnamic acid",0.5155118934350053,0.02083383670144873,leaf,0.8712913912168124,0.22875438327663908,FALSE
met_per_mg_leaf_2-ketoisocaproic acid,0.721987951659661,0.05170533433976192,leaf,0.9016650121715104,0.2759366015208334,FALSE
met_per_mg_leaf_2-ketoglucose dimethylacetal NIST,0.0343808025090455,0.08326006687061978,leaf,0.4802854619903761,0.3414016685259204,FALSE
met_per_mg_leaf_2-hydroxyglutaric acid,0.24648734588669707,0.25075689815100494,leaf,0.7104824405420779,0.6521627277173065,FALSE
met_per_mg_leaf_2'-deoxyguanosine,0.07572110846847906,0.8323013029729425,leaf,0.4802854619903761,0.9141236379057534,FALSE
met_per_mg_leaf_2-aminobutyric acid,0.5758461742073243,0.6242478048898461,leaf,0.8712913912168124,0.8948087218812877,FALSE
"met_per_mg_leaf_2,5-dihydroxypyrazine NIST",0.5821923108092479,0.05173811278515626,leaf,0.8712913912168124,0.2759366015208334,FALSE
"met_per_mg_leaf_2,3-dihydroxybutanoic acid NIST",0.1248451077065069,0.3759835073223703,leaf,0.5231604513415528,0.7583232307953427,FALSE
met_per_mg_leaf_1-monostearin,0.0822414687285569,0.9810176532950471,leaf,0.4802854619903761,0.99229371827545,FALSE
met_per_mg_leaf_1-monopalmitin,0.6255177845528952,0.5171177638011808,leaf,0.8712913912168124,0.8427104298982205,FALSE
met_per_mg_leaf_1-methylgalactose NIST,0.9626635310781197,0.9287325480615664,leaf,0.9908115875423922,0.9729579074930695,FALSE
met_per_mg_leaf_1-kestose,0.28577658680266294,0.7270153320854467,leaf,0.7405548915459944,0.9000220854524917,FALSE
met_per_mg_root_xylulose NIST,0.4551044154586288,0.03703620920709146,root,0.7536083437475533,0.18721080696184572,FALSE
met_per_mg_root_xylose,0.35257481964013226,0.8496018245864656,root,0.6894796472962587,0.8847924327054316,FALSE
met_per_mg_root_xylonic acid isomer,0.03358553923816405,0.5512100272210747,root,0.3111081529429933,0.6979349984957492,FALSE
met_per_mg_root_xylonic acid,0.004946237577676466,0.1094596433134583,root,0.10881722670888225,0.3186823925271069,FALSE
met_per_mg_root_xanthine,0.6405689683592024,0.01147054100545544,root,0.828971606111909,0.1621992402888986,FALSE
met_per_mg_root_vanillic acid,0.5299949855177563,0.5868698968610839,root,0.7784353796978998,0.7228031529345573,FALSE
met_per_mg_root_valine,0.38081096836975603,0.01818432355706903,root,0.6984258662723081,0.1621992402888986,FALSE
met_per_mg_root_uridine,0.6215161016499734,0.15091522058495374,root,0.8224573976721452,0.3433743075237638,FALSE
met_per_mg_root_urea,0.9480006664665892,0.06152271655503248,root,0.9671091900733991,0.24295557643437954,FALSE
met_per_mg_root_uracil,0.8245266715001087,0.023039664813764005,root,0.9276727500582939,0.1621992402888986,FALSE
met_per_mg_root_UDP-N-acetylglucosamine,0.08573439289241963,0.6304887835811808,root,0.457250095426238,0.7458090349741248,FALSE
met_per_mg_root_tyrosine,0.313750034776514,0.03030966394024779,root,0.6496471308313702,0.180351413479071,FALSE
met_per_mg_root_tryptophan,0.30388677726349367,0.11089206882360841,root,0.6443864192575288,0.3186823925271069,FALSE
met_per_mg_root_tocopherol alpha-,0.7007606470602954,0.07196529208165926,root,0.8567385099900614,0.25598380385471114,FALSE
met_per_mg_root_thymine,0.9190957171506677,0.008252496210911734,root,0.9671091900733991,0.1621992402888986,FALSE
met_per_mg_root_threonine,0.24505834675627516,0.04941233191916913,root,0.6373374979576193,0.20706120042318493,FALSE
met_per_mg_root_threonic acid,0.031069911605839676,0.2531254796105371,root,0.30379469125709907,0.4592792207366446,FALSE
met_per_mg_root_tagatose,0.49621895267856475,0.031964492730033836,root,0.7728719970922778,0.18147582969309534,FALSE
met_per_mg_root_sucrose,0.04579255077046268,0.6356327002620381,root,0.383785187409592,0.7458090349741248,FALSE
met_per_mg_root_succinic acid,0.24965019433321897,0.5495718155463356,root,0.6373374979576193,0.6979349984957492,FALSE
met_per_mg_root_stigmasterol,0.8486097315874165,0.45460507157643004,root,0.9276727500582939,0.625949239643108,FALSE
met_per_mg_root_stearic acid,0.9144343022260704,0.15127935681548746,root,0.9671091900733991,0.3433743075237638,FALSE
met_per_mg_root_spermidine,0.5867588429572055,0.022692262021413938,root,0.7943812027728321,0.1621992402888986,FALSE
met_per_mg_root_sinapinic acid,0.06660056578893356,0.6621568277109182,root,0.42346639967717514,0.7616967429877228,FALSE
met_per_mg_root_shikimic acid,0.0029643704009006218,0.761028148778058,root,0.08165946350704818,0.8371309636558639,FALSE
met_per_mg_root_serine,0.1633250709941399,0.10180668478566962,root,0.6113122786197225,0.3143504653031202,FALSE
met_per_mg_root_saccharic acid,0.19881603829232097,0.1992059349115771,root,0.6138881182359384,0.3984118698231542,FALSE
met_per_mg_root_ribose,0.4769410202711729,0.017995525106877137,root,0.7562308069164544,0.1621992402888986,FALSE
met_per_mg_root_ribonic acid,0.2437945504795914,0.2069804298065865,root,0.6373374979576193,0.4002660363497991,FALSE
met_per_mg_root_ribitol,0.3719226424992539,0.29424135409175045,root,0.6984258662723081,0.48855168226554796,FALSE
met_per_mg_root_raffinose,0.6656552899089196,0.9858463539277853,root,0.8368237930283561,0.989810962962391,FALSE
met_per_mg_root_quinic acid,0.6345261061619263,0.05684581989881722,root,0.8272340346999929,0.2326712628416705,FALSE
met_per_mg_root_pyruvic acid,0.34311876839466326,0.5872775617593278,root,0.6803219547775465,0.7228031529345573,FALSE
met_per_mg_root_pyrrole-2-carboxylic acid,0.17366826097151206,0.21134551511818195,root,0.6113122786197225,0.4002660363497991,FALSE
met_per_mg_root_putrescine,0.5406673984356205,0.020578532251624444,root,0.7784353796978998,0.1621992402888986,FALSE
met_per_mg_root_pseudo uridine,0.46514630634773735,0.0025980239537275918,root,0.7536083437475533,0.1621992402888986,FALSE
"met_per_mg_root_propane-1,3-diol NIST",0.8686261385121319,0.24687110336271606,root,0.9379030698045104,0.4525970228316461,FALSE
met_per_mg_root_proline,0.27047734749477037,0.01305343333769539,root,0.6373374979576193,0.1621992402888986,FALSE
met_per_mg_root_phytol,0.7531172895247791,0.22741379871414255,root,0.8852363340343273,0.4257960486562669,FALSE
met_per_mg_root_phosphate,0.0015957118732811055,0.7115105109087683,root,0.07021132242436864,0.8027298071791231,FALSE
met_per_mg_root_phenylpyruvate,0.6292487228642196,0.330419499357524,root,0.8264759345082288,0.5151175686507241,FALSE
met_per_mg_root_phenylethylamine,0.16976472969811351,0.00939868828372952,root,0.6113122786197225,0.1621992402888986,FALSE
met_per_mg_root_phenylalanine,0.16976770825723803,0.037099173354637964,root,0.6113122786197225,0.18721080696184572,FALSE
met_per_mg_root_phenol,0.29063896817011303,0.6253873557153364,root,0.6373374979576193,0.7458090349741248,FALSE
