genes,trt,mean.value,root.voom5.module,query_id
BraA03g028260.3C,live,0.07955548493269388,red,BRARA.C02736-MONOMER
BraA03g029270.3C,dead,0.3887911850626707,midnightblue,BRARA.C02825-MONOMER
BraA03g029270.3C,live,-0.3887911850626707,midnightblue,BRARA.C02825-MONOMER
BraA03g030300.3C,dead,-0.03297849876610446,red,BRARA.C02928-MONOMER
BraA03g030300.3C,live,0.032978498766104446,red,BRARA.C02928-MONOMER
BraA03g030890.3C,dead,0.005743915597820897,red,BRARA.K01603-MONOMER
BraA03g030890.3C,live,-0.005743915597820897,red,BRARA.K01603-MONOMER
BraA03g031130.3C,dead,0.10456452542328849,midnightblue,BRARA.C03007-MONOMER
BraA03g031130.3C,live,-0.10456452542328855,midnightblue,BRARA.C03007-MONOMER
BraA03g031370.3C,dead,-0.2251067964329068,lightyellow,BRARA.C03029-MONOMER
BraA03g031370.3C,live,0.22510679643290685,lightyellow,BRARA.C03029-MONOMER
BraA03g037080.3C,dead,0.26836141470670327,lightyellow,BRARA.C03578-MONOMER
BraA03g037080.3C,live,-0.26836141470670327,lightyellow,BRARA.C03578-MONOMER
BraA03g038530.3C,dead,0.08115400824525244,midnightblue,BRARA.C03704-MONOMER
BraA03g038530.3C,live,-0.08115400824525247,midnightblue,BRARA.C03704-MONOMER
BraA03g039690.3C,dead,-0.0016561155874251666,red,BRARA.C03824-MONOMER
BraA03g039690.3C,live,0.0016561155874251859,red,BRARA.C03824-MONOMER
BraA03g040590.3C,dead,0.213703567151723,yellowgreen,BRARA.C03894-MONOMER
BraA03g040590.3C,live,-0.21370356715172298,yellowgreen,BRARA.C03894-MONOMER
BraA03g040800.3C,dead,-0.1341831840186244,midnightblue,BRARA.C03916-MONOMER
BraA03g040800.3C,live,0.1341831840186244,midnightblue,BRARA.C03916-MONOMER
BraA03g041030.3C,dead,3.886623231473825e-4,red,BRARA.C03939-MONOMER
BraA03g041030.3C,live,-3.8866232314737384e-4,red,BRARA.C03939-MONOMER
BraA03g041070.3C,dead,-0.4110066086977166,lightyellow,BRARA.C03943-MONOMER
BraA03g041070.3C,live,0.41100660869771677,lightyellow,BRARA.C03943-MONOMER
BraA03g042860.3C,dead,0.006542364082425606,red,BRARA.C04123-MONOMER
BraA03g042860.3C,live,-0.006542364082425606,red,BRARA.C04123-MONOMER
BraA03g044250.3C,dead,0.04192248599182599,red,MONOMER4K-456
BraA03g044250.3C,live,-0.04192248599182601,red,MONOMER4K-456
BraA03g045670.3C,dead,0.015667824488121297,red,BRARA.C04377-MONOMER
BraA03g045670.3C,live,-0.015667824488121266,red,BRARA.C04377-MONOMER
BraA03g047310.3C,dead,0.007602519189817398,paleturquoise,BRARA.C04534-MONOMER
BraA03g047310.3C,live,-0.007602519189817388,paleturquoise,BRARA.C04534-MONOMER
BraA03g049900.3C,dead,0.10686432699475602,yellowgreen,BRARA.C04590-MONOMER
BraA03g049900.3C,live,-0.10686432699475606,yellowgreen,BRARA.C04590-MONOMER
BraA03g051690.3C,dead,0.15623697432011097,plum1,BRARA.K00743-MONOMER
BraA03g051690.3C,live,-0.15623697432011097,plum1,BRARA.K00743-MONOMER
BraA03g051910.3C,dead,-0.025125986145073626,red,BRARA.K01497-MONOMER
BraA03g051910.3C,live,0.025125986145073626,red,BRARA.K01497-MONOMER
BraA03g052000.3C,dead,0.11149386230486637,yellowgreen,BRARA.K01490-MONOMER
BraA03g052000.3C,live,-0.1114938623048664,yellowgreen,BRARA.K01490-MONOMER
BraA03g053860.3C,dead,0.6036466156708655,plum1,BRARA.K00070-MONOMER
BraA03g053860.3C,live,-0.6036466156708655,plum1,BRARA.K00070-MONOMER
BraA03g057650.3C,dead,-0.22916195469468265,lightyellow,BRARA.K00673-MONOMER
BraA03g057650.3C,live,0.2291619546946827,lightyellow,BRARA.K00673-MONOMER
BraA03g058420.3C,dead,-0.07440272870962476,midnightblue,BRARA.K01466-MONOMER
BraA03g058420.3C,live,0.07440272870962472,midnightblue,BRARA.K01466-MONOMER
BraA03g058890.3C,dead,0.011599320531622487,red,BRARA.K00342-MONOMER
BraA03g058890.3C,live,-0.011599320531622487,red,BRARA.K00342-MONOMER
BraA03g063310.3C,dead,-0.01129069117818783,midnightblue,BRARA.K00598-MONOMER
BraA03g063310.3C,live,0.011290691178187836,midnightblue,BRARA.K00598-MONOMER
BraA03g063610.3C,dead,-0.17406865205911626,lightyellow,BRARA.K00588-MONOMER
BraA03g063610.3C,live,0.17406865205911617,lightyellow,BRARA.K00588-MONOMER
BraA03g064230.3C,dead,0.2150741561144125,yellowgreen,BRARA.K01709-MONOMER
BraA03g064230.3C,live,-0.21507415611441247,yellowgreen,BRARA.K01709-MONOMER
BraA04g001550.3C,dead,0.08974240340969204,yellowgreen,BRARA.D00143-MONOMER
BraA04g001550.3C,live,-0.08974240340969204,yellowgreen,BRARA.D00143-MONOMER
BraA04g003220.3C,dead,0.0354710345625603,plum1,BRARA.D00280-MONOMER
BraA04g003220.3C,live,-0.0354710345625603,plum1,BRARA.D00280-MONOMER
BraA04g004820.3C,dead,0.025075775560429944,midnightblue,BRARA.D00419-MONOMER
BraA04g004820.3C,live,-0.025075775560429947,midnightblue,BRARA.D00419-MONOMER
BraA04g004880.3C,dead,0.03674663166382561,red,BRARA.D00425-MONOMER
BraA04g004880.3C,live,-0.03674663166382562,red,BRARA.D00425-MONOMER
BraA04g007480.3C,dead,0.34012729963794114,plum1,BRARA.D00633-MONOMER
BraA04g007480.3C,live,-0.34012729963794114,plum1,BRARA.D00633-MONOMER
BraA04g008870.3C,dead,0.19384989174782757,plum1,BRARA.D00731-MONOMER
BraA04g008870.3C,live,-0.19384989174782757,plum1,BRARA.D00731-MONOMER
BraA04g009580.3C,dead,0.036697226124352667,midnightblue,BRARA.D00814-MONOMER
BraA04g009580.3C,live,-0.03669722612435265,midnightblue,BRARA.D00814-MONOMER
BraA04g012870.3C,dead,0.043237724719188936,midnightblue,BRARA.D01058-MONOMER
BraA04g012870.3C,live,-0.04323772471918895,midnightblue,BRARA.D01058-MONOMER
BraA04g013440.3C,dead,0.1935645338664515,yellowgreen,BRARA.D01101-MONOMER
BraA04g013440.3C,live,-0.1935645338664516,yellowgreen,BRARA.D01101-MONOMER
