sample,genotype,trt,blk,sample_2,Phylum,Abundance,sample_3,sample_4
FPsc.BLANK.NA.wk2.blk12.Db9.pot508,FPsc,No Inoculation,blk12,s_14,Actinobacteria,0.075528767,F_b12,blk12.FPsc
FPsc.BLANK.NA.wk2.blk12.Db9.pot508,FPsc,No Inoculation,blk12,s_14,Planctomycetes,0,F_b12,blk12.FPsc
FPsc.BLANK.NA.wk2.blk12.Db9.pot508,FPsc,No Inoculation,blk12,s_14,Verrucomicrobia,0.004591348,F_b12,blk12.FPsc
FPsc.BLANK.NA.wk2.blk12.Db9.pot508,FPsc,No Inoculation,blk12,s_14,Chloroflexi,0,F_b12,blk12.FPsc
FPsc.BLANK.NA.wk2.blk12.Db9.pot508,FPsc,No Inoculation,blk12,s_14,Acidobacteria,6.53E-05,F_b12,blk12.FPsc
FPsc.BLANK.NA.wk2.blk12.Db9.pot508,FPsc,No Inoculation,blk12,s_14,Cyanobacteria,0.003503351,F_b12,blk12.FPsc
FPsc.BLANK.NA.wk2.blk12.Db9.pot508,FPsc,No Inoculation,blk12,s_14,< 1% abundance,0.000195839,F_b12,blk12.FPsc
FPsc.BLANK.NA.wk2.blk2.Db2.pot65,FPsc,No Inoculation,blk02,s_15,Proteobacteria,0.500413439,F_b02,blk02.FPsc
FPsc.BLANK.NA.wk2.blk2.Db2.pot65,FPsc,No Inoculation,blk02,s_15,Firmicutes,0.149490817,F_b02,blk02.FPsc
FPsc.BLANK.NA.wk2.blk2.Db2.pot65,FPsc,No Inoculation,blk02,s_15,Bacteroidetes,0.280376882,F_b02,blk02.FPsc
FPsc.BLANK.NA.wk2.blk2.Db2.pot65,FPsc,No Inoculation,blk02,s_15,Actinobacteria,0.064844634,F_b02,blk02.FPsc
FPsc.BLANK.NA.wk2.blk2.Db2.pot65,FPsc,No Inoculation,blk02,s_15,Planctomycetes,0,F_b02,blk02.FPsc
FPsc.BLANK.NA.wk2.blk2.Db2.pot65,FPsc,No Inoculation,blk02,s_15,Verrucomicrobia,0.00400383,F_b02,blk02.FPsc
FPsc.BLANK.NA.wk2.blk2.Db2.pot65,FPsc,No Inoculation,blk02,s_15,Chloroflexi,0,F_b02,blk02.FPsc
FPsc.BLANK.NA.wk2.blk2.Db2.pot65,FPsc,No Inoculation,blk02,s_15,Acidobacteria,0,F_b02,blk02.FPsc
FPsc.BLANK.NA.wk2.blk2.Db2.pot65,FPsc,No Inoculation,blk02,s_15,Cyanobacteria,0.000652798,F_b02,blk02.FPsc
FPsc.BLANK.NA.wk2.blk2.Db2.pot65,FPsc,No Inoculation,blk02,s_15,< 1% abundance,0.000217599,F_b02,blk02.FPsc
FPsc.BLANK.NA.wk2.blk4.Db3.pot170,FPsc,No Inoculation,blk04,s_16,Proteobacteria,0.513817565,F_b04,blk04.FPsc
FPsc.BLANK.NA.wk2.blk4.Db3.pot170,FPsc,No Inoculation,blk04,s_16,Firmicutes,0.136217251,F_b04,blk04.FPsc
FPsc.BLANK.NA.wk2.blk4.Db3.pot170,FPsc,No Inoculation,blk04,s_16,Bacteroidetes,0.304225781,F_b04,blk04.FPsc
FPsc.BLANK.NA.wk2.blk4.Db3.pot170,FPsc,No Inoculation,blk04,s_16,Actinobacteria,0.043889808,F_b04,blk04.FPsc
FPsc.BLANK.NA.wk2.blk4.Db3.pot170,FPsc,No Inoculation,blk04,s_16,Planctomycetes,0,F_b04,blk04.FPsc
FPsc.BLANK.NA.wk2.blk4.Db3.pot170,FPsc,No Inoculation,blk04,s_16,Verrucomicrobia,0.000631038,F_b04,blk04.FPsc
FPsc.BLANK.NA.wk2.blk4.Db3.pot170,FPsc,No Inoculation,blk04,s_16,Chloroflexi,0,F_b04,blk04.FPsc
FPsc.BLANK.NA.wk2.blk4.Db3.pot170,FPsc,No Inoculation,blk04,s_16,Acidobacteria,0,F_b04,blk04.FPsc
FPsc.BLANK.NA.wk2.blk4.Db3.pot170,FPsc,No Inoculation,blk04,s_16,Cyanobacteria,0.001000957,F_b04,blk04.FPsc
FPsc.BLANK.NA.wk2.blk4.Db3.pot170,FPsc,No Inoculation,blk04,s_16,< 1% abundance,0.000217599,F_b04,blk04.FPsc
FPsc.BLANK.NA.wk2.blk5.Db3.pot178,FPsc,No Inoculation,blk05,s_17,Proteobacteria,0.594916877,F_b05,blk05.FPsc
FPsc.BLANK.NA.wk2.blk5.Db3.pot178,FPsc,No Inoculation,blk05,s_17,Firmicutes,0.110910436,F_b05,blk05.FPsc
FPsc.BLANK.NA.wk2.blk5.Db3.pot178,FPsc,No Inoculation,blk05,s_17,Bacteroidetes,0.235856036,F_b05,blk05.FPsc
FPsc.BLANK.NA.wk2.blk5.Db3.pot178,FPsc,No Inoculation,blk05,s_17,Actinobacteria,0.055574898,F_b05,blk05.FPsc
FPsc.BLANK.NA.wk2.blk5.Db3.pot178,FPsc,No Inoculation,blk05,s_17,Planctomycetes,0,F_b05,blk05.FPsc
FPsc.BLANK.NA.wk2.blk5.Db3.pot178,FPsc,No Inoculation,blk05,s_17,Verrucomicrobia,0.001653756,F_b05,blk05.FPsc
FPsc.BLANK.NA.wk2.blk5.Db3.pot178,FPsc,No Inoculation,blk05,s_17,Chloroflexi,0,F_b05,blk05.FPsc
FPsc.BLANK.NA.wk2.blk5.Db3.pot178,FPsc,No Inoculation,blk05,s_17,Acidobacteria,0,F_b05,blk05.FPsc
FPsc.BLANK.NA.wk2.blk5.Db3.pot178,FPsc,No Inoculation,blk05,s_17,Cyanobacteria,0.001022717,F_b05,blk05.FPsc
FPsc.BLANK.NA.wk2.blk5.Db3.pot178,FPsc,No Inoculation,blk05,s_17,< 1% abundance,6.53E-05,F_b05,blk05.FPsc
FPsc.BLANK.NA.wk2.blk7.Db6.pot296,FPsc,No Inoculation,blk07,s_18,Proteobacteria,0.524240578,F_b07,blk07.FPsc
FPsc.BLANK.NA.wk2.blk7.Db6.pot296,FPsc,No Inoculation,blk07,s_18,Firmicutes,0.207872748,F_b07,blk07.FPsc
FPsc.BLANK.NA.wk2.blk7.Db6.pot296,FPsc,No Inoculation,blk07,s_18,Bacteroidetes,0.237770911,F_b07,blk07.FPsc
FPsc.BLANK.NA.wk2.blk7.Db6.pot296,FPsc,No Inoculation,blk07,s_18,Actinobacteria,0.027134651,F_b07,blk07.FPsc
FPsc.BLANK.NA.wk2.blk7.Db6.pot296,FPsc,No Inoculation,blk07,s_18,Planctomycetes,0,F_b07,blk07.FPsc
FPsc.BLANK.NA.wk2.blk7.Db6.pot296,FPsc,No Inoculation,blk07,s_18,Verrucomicrobia,0.002850553,F_b07,blk07.FPsc
