exp,pot,pot,block,bench,row,col,genotype,density,5E_soil_trts,descriptor,Leaf_Ln_cm,data_type,pot_density,time_point,raw_avg_lf_11.03.17,lf_1_03.24_no_germ,lf_2_03.24_no_germ
PGP Exp.,341,NA,8,2,9,2,FPsc,NA,No inoculation,avg_lf_03.24_no_germ,3.468268227,Phys,3,wk4,NA,3.321113993,3.611275572
PGP Exp.,342,NA,8,2,6,3,FPsc,NA,Live,avg_lf_03.24_no_germ,3.134934894,Phys,3,wk4,NA,3.021113993,3.244608905
PGP Exp.,345,NA,8,2,9,3,R500,NA,No inoculation,avg_lf_03.24_no_germ,4.15160156,Phys,3,wk4,NA,4.487780659,3.811275572
PGP Exp.,352,NA,8,2,8,5,FPsc,NA,Disrupted,avg_lf_03.24_no_germ,3.768268227,Phys,3,wk4,NA,3.721113993,3.811275572
PGP Exp.,356,NA,9,3,2,1,R500,NA,No inoculation,avg_lf_03.24_no_germ,4.149530717,phys,3,wk2,NA,4.699556772,3.610278358
PGP Exp.,359,NA,9,3,4,2,R500,NA,Live,avg_lf_03.24_no_germ,4.794665443,phys,3,wk4,NA,5.428964734,4.166166318
PGP Exp.,364,NA,9,3,4,3,FPsc,NA,Live,avg_lf_03.24_no_germ,3.95160156,phys,3,wk2,NA,4.021113993,3.877942239
PGP Exp.,369,NA,9,3,4,4,R500,NA,Disrupted,avg_lf_03.24_no_germ,4.782864051,phys,3,wk2,NA,5.032890105,4.543611691
PGP Exp.,370,NA,9,3,3,4,FPsc,NA,Live,avg_lf_03.24_no_germ,3.594665443,phys,3,wk4,NA,3.462298068,3.732832985
PGP Exp.,373,NA,9,3,5,5,FPsc,NA,No inoculation,avg_lf_03.24_no_germ,3.618268227,phys,3,wk2,NA,4.154447326,3.077942239
PGP Exp.,377,NA,9,3,1,5,R500,NA,Disrupted,avg_lf_03.24_no_germ,3.749530717,phys,3,wk4,NA,4.466223438,3.043611691
PGP Exp.,380,NA,9,3,8,1,FPsc,NA,Disrupted,avg_lf_03.24_no_germ,2.324530717,phys,2,wk4,NA,2.549556772,2.110278358
PGP Exp.,383,NA,9,3,7,2,FPsc,NA,Disrupted,avg_lf_03.24_no_germ,2.532864051,phys,3,wk2,NA,3.032890105,2.043611691
PGP Exp.,385,NA,9,3,9,2,R500,NA,Live,avg_lf_03.24_no_germ,3.699530717,phys,3,wk2,NA,4.266223438,3.143611691
PGP Exp.,386,NA,9,3,6,3,R500,NA,No inoculation,avg_lf_03.24_no_germ,3.966197384,phys,3,wk4,NA,4.432890105,3.510278358
PGP Exp.,391,NA,9,3,7,4,FPsc,NA,No inoculation,avg_lf_03.24_no_germ,3.261332109,phys,3,wk4,NA,3.162298068,3.366166318
PGP Exp.,399,NA,10,3,3,1,FPsc,NA,Disrupted,avg_lf_03.24_no_germ,2.977998776,RNAseq,3,wk2,NA,3.462298068,2.499499651
PGP Exp.,403,NA,10,3,4,2,R500,NA,No inoculation,avg_lf_03.24_no_germ,3.616197384,RNAseq,3,wk4,NA,4.099556772,3.143611691
PGP Exp.,406,NA,10,3,1,2,R500,NA,Live,avg_lf_03.24_no_germ,4.316197384,RNAseq,3,wk2,NA,4.899556772,3.743611691
PGP Exp.,417,NA,10,3,5,5,R500,NA,Live,avg_lf_03.24_no_germ,4.577998776,RNAseq,3,wk4,NA,5.128964734,4.032832985
PGP Exp.,419,NA,10,3,3,5,R500,NA,Disrupted,avg_lf_03.24_no_germ,4.544665443,RNAseq,3,wk4,NA,5.028964734,4.066166318
PGP Exp.,420,NA,10,3,2,5,FPsc,NA,Live,avg_lf_03.24_no_germ,3.623133502,RNAseq,3,wk4,NA,3.758372697,3.488720945
PGP Exp.,424,NA,10,3,8,1,R500,NA,No inoculation,avg_lf_03.24_no_germ,3.382864051,RNAseq,3,wk2,NA,3.732890105,3.043611691
